,CD,EF,ES,MA,MSF,NS,PP,SF,SC,CEC,CA,EG,FI,GV,IN,IG,IS,LC,MMA,PAP,PAR,POM,SVM,(AVG)
kernel,2.2968947336768,1.47293398947904,0.983132530120482,2.06858202038925,2.17665363440517,2.13606767495514,1.49397590361446,1.56531172438732,3.01549053356282,1.83823275461272,1.826899985159,2.18098672060505,1.7437882678254,1.25282231287354,1.65024953369965,1.90456050530065,2.82422842053144,1.49642103602627,2.31237545020751,2.14062219025355,1.70281124497992,1.77349397590361,2.73772924209152,1.87757740556169
net,1.64190912714229,1.86799866799867,0.925188019527642,2.69692307692308,1.65249132830035,1.90932607215793,1.63449883449883,1.63926215333376,2.05245287437068,1.63916883116883,2.11350706436421,1.58988915015116,1.56004683840749,1.26468615017002,1.42716920913123,1.56353261927945,1.80266155862486,1.47418180494375,2.04312354312354,1.62326649653664,1.22011884828786,1.34846153846154,1.66225447508466,1.63157054761276
arch,2.03638758391299,1.49489112715417,1.15669304640495,1.30307355599962,2.00093171332109,1.90640990909638,1.21185840707965,1.635770919242,2.06306286198931,1.67889703751588,2.01976401179941,1.73875336667949,1.6093737145812,1.29635157577482,1.45613630329261,1.69281782418685,1.83829163267624,1.58285813940284,2.15859104362468,1.99501958286465,1.45002117746717,1.77041043009578,1.99196909420584,1.67347661635408
mm,2.08230452674897,0.936296296296296,0.969798423659064,1,1.88559670781893,2.1036068748487,5.3641975308642,1.78039174128826,2.16057956104252,1.79687404974761,2.1096604198123,1.68619175822843,1.71940889136215,1.47686854340411,1.52726277424838,1.66414048812289,2.50793650793651,1.54322695217117,1.88002351557907,3.5761316872428,1.24545523119861,1.26216412490922,2.17283950617284,1.77897379186011
drivers,1.66614191414442,1.53554581037816,0.876627056650073,3.04283503719578,1.73817090148553,1.74726128043143,1.02789985244114,1.61779391356044,1.9352091851849,1.62982318945622,2.08166365234031,1.80448604928828,1.78039151821921,1.35679345602088,1.34576940515049,1.87307219878188,1.75181801258557,1.64173609200627,2.11542248269138,2.17927838884626,1.34221912196118,1.80654978218437,1.47602228145888,1.66155651874991
fs,1.64292359748979,1.67603334880223,1.58385552234969,0.839716505383672,1.81395902234412,1.7136436832089,2.98185044768896,1.79877069123008,1.95366781763089,1.70850747746856,1.95470772301015,1.61742424242424,1.51715446389359,1.43451569669711,1.42814942494576,1.39493248327095,1.80241511313062,1.39451846277031,1.93692150583562,2.53491211266846,1.190297579465,1.41738964127524,1.84658037202855,1.65478567208482
