,CD,EF,ES,MA,MSF,NS,PP,SF,SC,CEC,CA,EG,FI,GV,IN,IG,IS,LC,MMA,PAP,PAR,POM,SVM,(AVG)
2018,1.56792091421482,1.48917771227144,1.76433615474255,1,2.12265136053269,1.90565107913669,1,2.48330140883036,2.37132576996254,1.80219264772046,2.34157412959659,2.04496088352285,2.18406312609521,1.61907483359107,1.48564235820646,2.00503978749166,1.21959810629539,2.02996730470859,2.56974160671463,3.05515203068007,1.50698392053105,1.9305179894291,1.71721928595134,1.81199203285438
2019,2.0255289968652,1.44378910323253,1.59070347119646,6.15375,2.28829376430206,1.98508064516129,2.74720982142857,2.52167835810529,2.47748376623377,2.04217367256637,2.86066216216216,2.54214743589744,2.08683951104101,1.65691145800909,1.70154764001409,2.96249686034829,1.23942598187311,1.86351783310902,2.89906564070352,2.57727931701031,1.40198671388613,1.95423141891892,1.30728563151796,2.13000791133421
2020,2.09613545647065,1.08427170572642,1.54471972674527,4.83717948717949,2.8111593474933,1.83773440489858,7.49120717041071,2.08286652455287,2.35196990634116,1.83794222287946,2.28249090690474,1.97218682172086,2.40333050230527,1.55251939840981,1.66151329757954,2.28300213675214,1.44701950471181,2.21155093285443,2.8020007738489,3.29673896083632,1.58645119319624,1.74261018738453,1.32414410542902,2.14238621000658
2021,1.93633260250789,1.65732136946139,2.02794377652051,1.37927489177489,1.8961492170082,1.12504413841808,2.91769688644689,2.2944459447295,1.94005523660404,1.94629726366029,2.1017030361377,2.16487838098978,2.34890731964192,1.58859907815824,1.74994507606964,2.32771153874253,1.24360850897736,2.00830555338948,2.72727877385772,1.74777412072494,1.51626310292402,1.54938185014776,1.09524487986684,1.82533657062915
2022,1.81813444351479,2.01769846515385,2.50614119879748,3.2073544433095,2.86441121392377,1.63169624813793,1,2.29389770993463,2.16358742087517,1.68453489669617,2.67970628182128,2.23981188138295,2.3074196495212,1.58622119889183,1.72141932250115,2.69662921348315,0.959668367063426,2.30145483629556,2.25124926613224,1.79611848825332,1.58659085856254,1.81560821718837,1.72206949976349,1.95893388112706
Overall,1.99422331491009,1.70547393907666,1.77220051725677,2.39919812105857,2.3389160881455,1.88252645746173,3.78994208683703,2.4078955363739,2.38240579158108,1.86255469898107,2.48191485383563,2.1567691899567,2.29707802203547,1.60475650574135,1.64352679317575,2.35295507337377,1.39957641963634,2.0655645436776,2.77334866948174,2.38406921188788,1.53261371172013,1.79717523040739,1.49164897420552,2.05382579914042
