,CD,EF,ES,MA,MSF,NS,PP,SF,SC,CEC,CA,EG,FI,GV,IN,IG,IS,LC,MMA,PAP,PAR,POM,SVM,(AVG)
1,1.67952637560168,0.5,1.38177929298599,5.54714295879883,1.13319378102944,0.847663924027692,10,1.20362535898465,2.12101808826776,1.48122069847071,2.68637775691501,2.1006958023259,1.88415615267218,1.26503735313239,1.33524412559843,2.54058404923568,0.5,2.05996731042839,2.883530340145,1.97603950519164,1.57123507453662,1.9594856526815,0.98141760040287,1.69601460848824
2,1.68026042887498,1.19835477194729,1.02802708033087,1.36708099815273,1.48250104388922,1.52771922567643,2.94227406426571,1.54484820516086,1.56269205865771,1.74171293465779,1.81892420339571,2.02430984411479,1.68342614364524,1.28824389922039,1.40427598465251,1.99016035782737,1.09162505266107,1.72524978401675,2.46884248836283,2.00634115409004,1.36046951052593,1.52767296059585,1.23976262812686,1.58945730898592
3,1.42991289165665,1.03325406903509,1.16127371753714,1.31744501058524,1.49782200266486,1.28330015752217,1.36449661810614,1.40031426500918,1.58267576886758,1.41840237232791,1.78584424455609,1.56346869627003,1.63098421018854,1.2787189797256,1.29551226247724,1.57513837737041,1.18349768272697,1.47428966917308,1.88033042263711,1.68246188507766,1.0867016209388,1.22586816717028,1.14258655426643,1.38726298164319
4,1.49635363957892,1.18931640061278,1.25048196789896,0.932856468047777,1.60599593057413,1.44972143933932,1.75342465753425,1.49989454272101,1.69662868309999,1.48353176715419,1.75130068059165,1.60512830982178,1.50869616535559,1.25899267019653,1.3183430660918,1.56419342916379,1.31466719058946,1.47472537091339,1.81948378843134,1.61935999558998,1.20726756830912,1.36061618598641,1.30957760173878,1.43914255304955
5,1.37591003640146,1.32865440464666,0.834137709137709,1.03549382716049,1.47363730181068,1.44441056910569,1.43867924528302,1.58982932540755,1.54810606060606,1.45117331855137,1.63044564348521,1.49671561051005,1.39144887666208,1.19546183555905,1.21174220129488,1.47013516199563,1.47254073627037,1.32815808979246,1.67435221783048,1.67690815006468,1.19201548688728,1.30744170096022,1.18420366895977,1.36421747372403
6+,1.46169377167051,1.29686311739824,1,1.99291423886628,1.60786474042041,1.73944590168213,0.919212381492586,1.82461328078679,1.62096782244941,1.42543954503584,1.88260242700949,1.4867080013053,1.29110566237937,1.20570430410632,1.13937134526677,1.41652374332774,1.75717638826119,1.30377242706329,1.72788043691031,1.89289108104439,1.15812977075531,1.46667432834106,1.27647627231208,1.44400002897892
